tracker_theta,aoi,surface_azimuth,surface_tilt
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
6.913251503343076365e+00,8.112051466940916100e+01,9.000000000000000000e+01,6.913251503343076365e+00
7.265499931832061975e+01,2.792889494373079629e+01,9.000000000000000000e+01,7.265499931832061975e+01
5.725967955012708899e+01,3.235142084578599508e+01,9.000000000000000000e+01,5.725967955012708899e+01
4.089243988112327344e+01,3.602855958352215282e+01,9.000000000000000000e+01,4.089243988112326633e+01
2.356551968784258122e+01,3.860842981880633573e+01,9.000000000000000000e+01,2.356551968784258122e+01
5.565041904234263370e+00,3.981671144025343523e+01,9.000000000000000000e+01,5.565041904234263370e+00
8.746488275761521436e-04,4.117452738494723974e+01,9.000000000000000000e+01,8.746488275761521436e-04
1.073093817041126385e-03,4.701931675780098630e+01,9.000000000000000000e+01,1.073093817041126385e-03
1.493224274284443709e-03,5.619010545488041686e+01,9.000000000000000000e+01,1.493224274284443709e-03
2.394965202938692528e-03,6.733738517142413116e+01,9.000000000000000000e+01,2.394965202924481673e-03
5.464605601517291689e-03,7.962985236608214734e+01,9.000000000000000000e+01,5.464605601517291689e-03
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
6.909135533577654087e+00,8.111246265981897352e+01,9.000000000000000000e+01,6.909135533577654087e+00
7.265885866584609687e+01,2.772770124088070531e+01,9.000000000000000000e+01,7.265885866584609687e+01
5.727185315553673206e+01,3.214913970956953193e+01,9.000000000000000000e+01,5.727185315553672496e+01
4.092054120562514896e+01,3.582480640446618736e+01,9.000000000000000000e+01,4.092054120562514896e+01
2.361876155754521278e+01,3.840356394096897930e+01,9.000000000000000000e+01,2.361876155754521278e+01
5.652432934961282740e+00,3.961407513024944649e+01,9.000000000000000000e+01,5.652432934961282740e+00
8.680972393335650850e-04,4.096115795500424639e+01,9.000000000000000000e+01,8.680972393193542302e-04
1.065275969793333388e-03,4.681031153906285880e+01,9.000000000000000000e+01,1.065275969793333388e-03
1.482488656336045096e-03,5.599870439110219422e+01,9.000000000000000000e+01,1.482488656336045096e-03
2.374918065157771707e-03,6.716563885371643039e+01,9.000000000000000000e+01,2.374918065157771707e-03
5.382946934574306397e-03,7.947602758144412860e+01,9.000000000000000000e+01,5.382946934574306397e-03
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
